# Tab-separated values. Open in Excel.

# READ-ONLY. DO NOT MODIFY OR DELETE.

#Type	#Size (bytes)
GcCreatureHealthData	80
GcCreatureIkData	260
GcCreatureIkType	4
GcCreatureInfo	1048
GcCreatureLegIKComponentData	4
GcCreatureMoveAnimData	64
GcCreatureMovementData	40
GcCreatureNearbyEvent	32
GcCreatureRoleData	1168
GcCreatureRoleDataTable	16
GcCreatureRoleDescription	64
GcCreatureRoleDescriptionTable	32
GcCreatureRoleFilename	144
GcCreatureRoleFilenameList	16
GcCreatureRoleFilenameTable	240
GcCreatureRoles	4
GcCreatureSizeClasses	4
GcCreatureSpawnComponentData	912
GcCreatureSpawnData	1432
GcCreatureStupidName	40
GcCreatureStupidNameTable	144
GcCreatureSwarmData	64
GcCreatureTypes	4
GcCreatureVocalData	168
GcCreatureVocalSoundData	40
GcCustomInventoryComponentData	40
GcDebrisData	152
GcDebugOptions	3436
DecorationComponentData	8
GcDefaultMissionItemsTable	64
GcDefaultMissionProduct	4
GcDefaultMissionProductEnum	4
GcDefaultMissionSubstance	4
GcDefaultMissionSubstanceEnum	4
GcDefaultSaveData	322240
GcDeprecatedAssetsTable	16
GcDestroyAction	1
GcDestructableComponentData	328
GcDiscoveryHelperTimings	12
GcDiscoveryOwner	196
GcDiscoveryTypes	4
GcDiscoveryWorth	28
GcDisplayText	772
GcDistanceScaleComponentData	24
GcDoShipFlybyClose	12
GcDoShipFlybyIntercept	8
GcDoShipFlybyOverhead	8
GcDroneComponentData	104
GcDroneControlData	44
GcDroneData	448
GcEncounterComponentData	16
GcEncyclopediaComponentData	4
GcEngineComponentData	4
GcEntitlementRewardData	112
GcEntitlementRewardsTable	16
GcEnvironmentSpawnData	80
GcExactResource	144
GcExperienceSpawnTable	208
GcExperienceTimers	32
GcExplosionData	192
GcExplosionDataTable	16
GcExternalObjectFileList	56
GcExternalObjectList	80
GcExternalObjectListOptions	560
GcFactionSelectOptions	8
GcFlyingSnakeData	64
GcFogProperties	220
GcFoliageComponentData	4
GcFontData	132
GcFontTable	1056
GcFontTypesEnum	4
GcGalacticAddressData	20
GcGalaxyAudioSetupData	68
GcGalaxyCameraData	100
GcGalaxyGenerationSetupData	384
GcGalaxyInfoIcons	2904
GcGalaxyMarkerSettings	288
GcGalaxyMarkerTypes	4
GcGalaxyRenderAnostreakData	48
GcGalaxyRenderSetupData	528
GcGalaxySolarSystemOrbitParams	28
GcGalaxySolarSystemParams	88
GcGalaxyStarAnomaly	4
GcGalaxyStarAttributesData	424
GcGalaxyStarColours	64
GcGalaxyStarTypes	4
GcGalaxyVoxelAttributesData	132
GcGalaxyWaypointTypes	4
GcGameMode	4
GcGeneratedShipCounts	20
GcGeneratorUnitComponentData	416
GcGenericIconTypes	4
GcGenericMissionSequence	1040
GcGenericRewardTableEntry	40
GcGoToStateAction	24
GcHazardValues	8
GcHeavyAirColourData	32
GcHeavyAirList	16
GcHeavyAirSetting	160
GcHeavyAirSettingValues	32
GcHUDComponent	40
GcHUDImageData	192
GcHUDLayerData	56
GcHUDManagerData	464
GcHUDStartup	8
GcHUDStartupTable	128
GcHUDTextData	288
GcInputActionMapping	8
GcInteractionActivationCost	56
GcInteractionBaseBuildingState	24
GcInteractionBuffer	32000
GcInteractionBufferType	4
GcInteractionComponentData	368
GcInteractionData	32
GcInteractionDof	20
GcInteractionType	4
GcInventoryBaseStat	48
GcInventoryBaseStatBonus	8
GcInventoryBaseStatEntry	20
GcInventoryClass	4
GcInventoryClassProbabilities	16
GcInventoryContainer	96
GcInventoryCostData	280
GcInventoryCostDataEntry	40
GcInventoryElement	48
GcInventoryGenerationBaseStatClassData	16
GcInventoryGenerationBaseStatData	64
GcInventoryGenerationBaseStatDataEntry	32
GcInventoryIndex	8
GcInventoryLayout	32
GcInventoryLayoutGenerationData	448
GcInventoryLayoutGenerationDataEntry	16
GcInventoryLayoutSizeType	4
GcInventorySlotActionData	28
GcInventorySpecialSlot	12
GcInventorySpecialSlotType	4
GcInventoryTable	1776
GcInventoryTableEntry	32
GcInventoryTechProbability	24
GcInventoryType	4
GcInventoryValueData	28
GcItemCostData	32
GcItemCostTable	16
GcItemPriceModifiers	20
GcJourney	16
GcJourneyCategory	384
GcJourneyCategoryType	4
GcJourneyMedal	532
GcJourneyMedalType	4
GcJourneyMilestoneData	56
GcJourneyMilestoneTable	16
GcLandingHelperComponentData	12
GcLaserBeamData	416
GcLegality	4
GcLeveledStatData	960
GcLeveledStatTable	16
GcLightProperties	48
GcLootComponentData	32
GcMaintenanceComponentData	240
GcMaintenanceContainer	124
GcMaintenanceElement	56
GcMaintenanceElementGroups	4
GcMaintenanceGroup	16
GcMaintenanceGroupEntry	32
GcMaintenanceGroupsTable	80
GcMarkerComponentData	16
GcMessageCrime	24
GcMessageProjectileImpact	56
GcMetaBallComponentData	196
GcMiningComponentData	8
GcMiningSubstanceData	12
GcMissileComponentData	36
GcMissionBoardOptions	48
GcMissionCategory	4
GcMissionConditionAIShipCount	12
GcMissionConditionBaseClaimed	12
GcMissionConditionBasePartBuilt	24
GcMissionConditionBasePartNear	24
GcMissionConditionBiomeType	4
GcMissionConditionCanReceiveReward	16
GcMissionConditionCriticalMissionsDone	1
GcMissionConditionExtraSuitSlots	4
GcMissionConditionFactionRank	12
GcMissionConditionFreighterBattle	12
GcMissionConditionGameMode	4
GcMissionConditionGlobalMission	4
GcMissionConditionGroup	24
GcMissionConditionHasFuel	8
GcMissionConditionHasGalacticFeature	4
GcMissionConditionHasProduct	12
GcMissionConditionHasSubstance	12
GcMissionConditionHasTechnology	4
GcMissionConditionInventorySlots	12
GcMissionConditionIsAnomalyLoaded	4
GcMissionConditionIsCurrentMission	0
GcMissionConditionIsLookingAtAnomaly	8
GcMissionConditionIsPlayerWanted	8
GcMissionConditionIsScanEventLocal	32
GcMissionConditionIsTechnologyRepaired	4
GcMissionConditionLocation	4
GcMissionConditionMissionCompleted	16
GcMissionConditionMissionMessage	16
GcMissionConditionNPCHabitationHasWorker	4
GcMissionConditionNumAtlasStationsVisited	8
GcMissionConditionPercentageChance	8
GcMissionConditionProductKnown	4
GcMissionConditionStatLevel	40
GcMissionConditionSystemRace	4
GcMissionConditionTechnologyKnown	4
GcMissionConditionTest	4
GcMissionConditionTotalWarpsNumber	4
GcMissionConsequenceRemoveScanEvent	32
GcMissionDifficulty	4
GcMissionFaction	4
GcMissionGalacticFeature	4
GcMissionGalacticPoint	4
GcMissionPageHint	4
GcMissionSequenceAudioEvent	132
GcMissionSequenceBounty	528
GcMissionSequenceBuild	280
GcMissionSequenceCollectProduct	312
GcMissionSequenceCollectSubstance	312
GcMissionSequenceCommunicator	432
GcMissionSequenceDiscover	272
GcMissionSequenceDoMissionsForFaction	272
GcMissionSequenceEndScanEvent	160
GcMissionSequenceFinishSummonAnomaly	128
GcMissionSequenceFreighterDefend	256
GcMissionSequenceFreighterEngage	544
GcMissionSequenceGatherForBuild	288
GcMissionSequenceGatherForRefuel	264
GcMissionSequenceGatherForRepair	280
GcMissionSequenceGetInShip	256
GcMissionSequenceGetToScanEvent	560
GcMissionSequenceGetUnits	260
GcMissionSequenceGetUnitsToBuyItem	272
GcMissionSequenceGoToGalacticPoint	260
GcMissionSequenceGroup	472
GcMissionSequenceKill	268
GcMissionSequenceLearnWords	260
GcMissionSequenceMarker	128
GcMissionSequencePirates	128
GcMissionSequenceProductAmountNeeded	296
GcMissionSequenceReward	272
GcMissionSequenceScan	264
GcMissionSequenceSetCurrentMission	144
GcMissionSequenceSetGlobalMission	132
GcMissionSequenceShowMessage	560
GcMissionSequenceShowMissionUpdateMessage	136
GcMissionSequenceSignalGalacticPoint	260
GcMissionSequenceStartScanEvent	176
GcMissionSequenceStartSummonAnomaly	136
GcMissionSequenceStop	256
GcMissionSequenceTeleport	272
GcMissionSequenceWait	132
GcMissionSequenceWaitForBuild	272
GcMissionSequenceWaitForCompletionMessage	256
GcMissionSequenceWaitForConditions	280
GcMissionSequenceWaitForDepots	264
GcMissionSequenceWaitForFactionStanding	272
GcMissionSequenceWaitForFreighterPods	260
GcMissionSequenceWaitForMessage	272
GcMissionSequenceWaitForPortalWarp	257
GcMissionSequenceWaitForRefuel	264
GcMissionSequenceWaitForRepair	260
GcMissionSequenceWaitForScanEvent	552
GcMissionSequenceWaitForShips	264
GcMissionSequenceWaitForStat	296
GcMissionSequenceWaitForSuitUpgrade	128
GcMissionSequenceWaitForWarps	260
GcMissionTable	16
GcMissionTextDummy	36
GcMissionType	4
GcModelViewCollection	2128
GcMultiplayerGlobals	52
GcNGuiActionData	148
GcNGuiElementData	80
GcNGuiFileBrowserRecents	2560
GcNGuiGraphicData	640
GcNGuiLayerData	784
GcNGuiLayoutData	44
GcNGuiPreset	20816
GcNGuiPresetGraphic	624
GcNGuiPresetText	816
GcNGuiSpacingData	80
GcNGuiSpecialTextImageData	160
GcNGuiSpecialTextImages	16
GcNGuiSpecialTextStyleData	56
GcNGuiSpecialTextStyles	16
GcNGuiStyleAnimationData	24
GcNGuiStyleAnimationKeyframeData	24
GcNGuiTextData	1360
GcNodeActivationAction	136
GcNPCComponentData	4
GcNPCHabitationComponentData	20
GcNPCHabitationType	4
GcNPCPlacementComponentData	24
GcNPCPlacementInfo	160
GcNPCSpawnTable	960
GcNPCWorkerData	704
GcNumberedTextList	36
GcObjectDefinitionData	156
GcObjectPlacementComponentData	52
GcObjectSpawnData	944
GcObjectSpawnDataArray	24
GcOutpostComponentData	104
GcOutpostLSystemPair	928
GcPainAction	24
GcPaletteData	1040
GcPaletteList	42640
GcParticleAction	56
GcPerformanceFlyby	24
GcPerformanceGuard	4
GcPersistentBase	400
GcPersistentBaseEntry	144
GcPersistentBaseTypes	4
GcPersistentBBObjectData	96
GcPhotoModeAdjustData	24
GcPhotoModeSettings	64
GcPhysicsCollisionGroups	4
GcPlanetBuildingData	96
GcPlanetClass	4
GcPlanetColourData	4592
GcPlanetData	13552
GcPlanetGenerationInputData	72
GcPlanetGenerationIntermediateData	968
GcPlanetHazardData	120
GcPlanetHeavyAirData	288
GcPlanetInfo	898
GcPlanetLife	4
GcPlanetResourceIconLookup	152
GcPlanetSentinelData	8
GcPlanetSize	4
GcPlanetTradingData	8
GcPlanetWaterData	432
GcPlanetWeatherColourData	176
GcPlanetWeatherColourIndex	8
GcPlanetWeatherData	336
GcPlayAnimAction	16
GcPlayAudioAction	136
GcPlayerCommunicatorMessage	40
GcPlayerComponentData	4
GcPlayerConflictData	4
GcPlayerDamageData	296
GcPlayerDamageTable	16
GcPlayerHazardData	88
GcPlayerHazardTable	528
GcPlayerMissionParticipant	24
GcPlayerMissionParticipantType	4
GcPlayerMissionProgress	328
GcPlayerMissionProgressMapEntry	32
GcPlayerMissionProgressMapTable	16
GcPlayerMissionUpgradeMapEntry	56
GcPlayerMissionUpgradeMapTable	16
GcPlayerNearbyEvent	36
GcPlayerOwnershipData	976
GcPlayerSpaceshipAim	24
GcPlayerSpaceshipClassBonuses	48
GcPlayerSpaceshipControlData	244
GcPlayerSpaceshipEngineData	84
GcPlayerSpaceshipWarpData	48
GcPlayerSpawnStateData	128
GcPlayerStat	32
GcPlayerStateData	322112
GcPlayerStatsGroup	40
GcPlayerStickData	28
GcPortalComponentData	4
GcPortalData	8
GcPortalSaveData	24
GcPresetTextureData	384
GcPrimaryAxis	4
GcProductCategory	4
GcProductData	720
GcProductTable	16
GcProductTableEnum	4
GcProjectileData	912
GcProjectileDataTable	32
GcProjectileImpactData	24
GcProjectileImpactType	4
GcProjectileLineData	40
GcPurchaseableBuildingBlueprints	16
GcRarity	4
GcRealityCommonFactions	4
GcRealityCraftingRecipeData	88
GcRealityIconTable	13352
GcRealityManagerData	31120
GcRealitySubstanceCategory	4
GcRealitySubstanceCraftingMix	24
GcRealitySubstanceData	512
GcResourceCollectEffect	52
GcResourceElement	680
GcResourceOrigin	4
GcRewardAction	16
GcRewardAdvancePortalState	0
GcRewardAtlasPathProgress	4
GcRewardChangeGlobalMission	4
GcRewardClosePortal	0
GcRewardDamage	16
GcRewardDamageTech	32
GcRewardDestructEntry	4
GcRewardDestructRarities	12
GcRewardDestructTable	60
GcRewardDiscoverRune	4
GcRewardEnergy	4
GcRewardFactionStanding	12
GcRewardHazard	8
GcRewardHealth	8
GcRewardIncrementInteractionIndex	8
GcRewardJourneyThroughCentre	4
GcRewardMission	16
GcRewardMissionMessage	16
GcRewardMissionSeeded	16
GcRewardMoney	8
GcRewardMultiSpecificProductRecipes	64
GcRewardMultiSpecificProducts	16
GcRewardNetworkPlayer	64
GcRewardOpenPage	4
GcRewardPirateProbeSignal	1
GcRewardProduct	28
GcRewardProductRecipe	24
GcRewardRepairTech	4
GcRewardScan	20
GcRewardScanEvent	36
GcRewardShield	8
GcRewardShipAssistance	8
GcRewardShowBlackHoles	1
GcRewardSignalScan	4
GcRewardSpecificProduct	32
GcRewardSpecificProductRecipe	16
GcRewardSpecificProductRecipeFromList	24
GcRewardSpecificShip	808
GcRewardSpecificSubstance	40
GcRewardSpecificTech	16
GcRewardSpecificTechFromList	24
GcRewardSpecificWeapon	272
GcRewardStanding	12
GcRewardStartPurchase	0
GcRewardSubstance	28
GcRewardTable	144
GcRewardTableCategory	72
GcRewardTableEntitlementItem	120
GcRewardTableEntry	232
GcRewardTableItem	144
GcRewardTableItemList	24
GcRewardTeachWord	12
GcRewardTechRecipe	24
GcRewardTeleport	4
GcRewardTimeWarp	1
GcRewardTrigger	16
GcRewardWantedLevel	40
GcRewardWeapon	16
GcRewardWorker	4
GcRobotLaserData	80
GcSavedEntitlement	256
GcSavedInteractionRaceData	28
GcScanData	20
GcScanEffectData	80
GcScanEventData	472
GcScanEventSave	80
GcScanEventSolarSystemLookup	28
GcScanEventTable	16
GcScanEventTriggers	32
GcScannableComponentData	56
GcScannerBuildingIconTypes	4
GcScannerIcons	19088
GcScannerIconTypes	4
GcScareCreaturesAction	8
GcSceneSettings	1248
GcSeed	16
GcSelectableObjectData	128
GcSelectableObjectList	40
GcSelectableObjectSpawnData	680
GcSelectableObjectSpawnList	32
GcSelectableObjectTable	16
GcShieldComponentData	4
GcShipAIAttackData	208
GcShipAIAttackDataTable	96
GcShipAICombatDefinition	256
GcShipAIDeathData	28
GcShipAIPerformanceArray	16
GcShipAIPlanetPatrolData	56
GcShipFlareComponentData	4
GcShipHUDTargetData	1072
GcShipHUDTargetIconData	768
GcShipWeaponData	4
GcShipWeapons	64
GcShootableComponentData	64
GcSimpleInteractionComponentData	280
GcSimulationGlobals	7304
GcSizeIndicator	4
GcSkyProperties	48
GcSolarSystemClass	4
GcSolarSystemData	6336
GcSolarSystemEventWarpIn	160
GcSolarSystemEventWarpOut	44
GcSolarSystemEventWarpPlayer	48
GcSolarSystemLocator	96
GcSolarSystemLocatorChoice	44
GcSolarSystemLocatorTypes	4
GcSolarSystemSkyColourData	208
GcSolarSystemTraderSpawnData	20
GcSpaceMapObjectData	48
GcSpaceshipClasses	4
GcSpaceshipComponentData	280
GcSpaceshipTravelData	88
GcSpaceSkyColours	224
GcSpaceSkyColourSettingList	16
GcSpaceSkyProperties	160
GcSpaceStationSpawnData	320
GcSpawnAction	16
GcSpawnComponentOption	712
GcSpawnDensity	32
GcSpawnDensityList	16
GcStatDefinition	40
GcStatDefinitionTable	16
GcStatDisplayType	4
GcStateTimeEvent	4
GcStatGroupData	32
GcStatGroupTable	16
GcStatLevelData	64
GcStats	16
GcStatsBonus	12
GcStatsEntry	48
GcStatsEnum	4
GcStatsGroup	168
GcStatsTypes	4
GcStatTrackType	4
GcStatType	4
GcStatValueData	12
GcStyleProp_Colour	16
GcStyleProp_Font	4
GcStyleProp_Size	4
GcSubstanceAmount	32
GcSubstanceSecondary	32
GcSubstanceSecondaryLookup	32
GcSubstanceTable	32
GcSubstanceTableEnum	4
GcTechnology	736
GcTechnologyAttachmentComponentData	21
GcTechnologyCategory	4
GcTechnologyRarity	4
GcTechnologyRequirement	24
GcTechnologyTable	16
GcTechnologyTableEnum	4
GcTeleportEndpoint	60
GcTeleporterType	4
GcTerrainControls	112
GcTerrainEdit	8
GcTerrainEditing	148
GcTerrainEditsBuffer	44224
GcTerrainOverlayColours	24
GcTerrainTileType	4
GcTestMetadata	1712
GcTextPreset	112
GcTextPresetTable	16
GcTextStyleOutline	32
GcTextStylePlain	1
GcTextStyleShadow	32
GcTexturePrefetchData	16
GcTileTypeOptions	16
GcTileTypeSet	100
GcTracerData	24
GcTradeCategory	4
GcTradeData	144
GcTradeSettings	288
GcTradingCategoryData	204
GcTradingClass	4
GcTradingClassData	156
GcTradingClassTable	2732
GcTradingSupplyData	40
GcTriggerActionComponentData	48
GcTurretComponentData	4
GcUniqueNPCSpawnData	712
GcUniverseAddressData	24
GcUserSettingsData	12860
GcVehicleCheckpointComponentData	4
GcVehicleComponentData	304
GcVehicleData	2992
GcVehicleGarageComponentData	4
GcVehicleGlobals	9392
GcVehicleScanTable	16
GcVehicleScanTableEntry	200
GcVehicleType	4
GcWarpAction	4
GcWaterGlobals	1
GcWaypointComponentData	132
GcWealthClass	4
GcWeaponClasses	4
GcWeatherColourModifiers	624
GcWeatherColourSettingList	16
GcWeatherOptions	4
GcWeatherProperties	2304
GcWeatherTable	1016
GcWiki	16
GcWikiCategory	352
GcWikiPage	360
GcWikiTopic	208
GcWikiTopicType	4
GcWordKnowledge	24
GcZoomData	28
GcAISpaceshipGlobals	3232
GcBuildingGlobals	304
GcCameraGlobals	7504
GcCreatureGlobals	1680
GcGalaxyGlobals	5856
GcGameplayGlobals	4384
GcGraphicsGlobals	2368
GcPlacementGlobals	48
GcPlayerGlobals	2832
GcScratchpadGlobals	10192
GcSkyGlobals	2992
GcSmokeTestOptions	40
GcSolarGenerationGlobals	592
GcSpaceshipGlobals	3248
GcTerrainGlobals	400
GcUIGlobals	18080
MBINCompilerTestTemplate	104
NMSString0x10	16
NMSString0x100	256
NMSString0x20	32
NMSString0x80	128
TkActionButtonLookup	16
TkActionButtonMap	40
TkAnimationComponentData	240
TkAnimationData	224
TkAnimationDataTable	16
TkAnimMetadata	88
TkAnimNodeData	32
TkAnimNodeFrameData	48
TkAnimPoseComponentData	200
TkAnimPoseCorrelationData	40
TkAnimPoseData	24
TkAnimPoseExampleData	16
TkAnimPoseExampleElement	24
TkAttachmentData	40
TkAudioAnimTrigger	152
TkAudioComponentData	152
TkButtonImageLookup	16
TkButtonPathMapping	144
TkCameraWanderData	12
TkControllerButtonLookup	144
TkControllerList	16
TkControllerSpecification	32
TkCurveType	4
TkDynamicChainComponentData	72
TkEngineSettings	8
TkEngineSettingsMapping	57
TkEntitlementList	16
TkEqualityEnum	4
TkGameSettings	252
TkGeometryData	336
TkGraphicsSettings	134
TkHeavyAirData	320
TkHitCurveData	16
TkImGuiData	22968
TkImGuiSettings	400
TkImGuiWindowData	168
TkInOutCurve	12
TkInputEnum	4
TkInputFrame	28
TkInputFrameArray	560000
TkInstanceWindComponentData	32
TkJointBindingData	104
TkJointExtentData	48
TkJointMirrorAxis	44
TkLanguageFontTable	16
TkLanguageFontTableEntry	388
TkLanguages	4
TkLanguagesAllowedData	24
TkListedPaletteTexture	12
TkLocalisationEntry	288
TkLocalisationTable	16
TkLSystemGlobalRestriction	176
TkLSystemGlobalVariation	164
TkLSystemInnerRule	56
TkLSystemLocatorEntry	152
TkLSystemRestrictionData	8
TkLSystemRule	184
TkLSystemRulesData	64
TkLSystemRuleTemplate	160
TkMaterialData	472
TkMaterialFlags	4
TkMaterialMetaData	1056
TkMaterialSampler	216
TkMaterialUniform	64
TkModelDescriptorList	16
TkModelRendererCameraData	64
TkModelRendererData	112
TkModelResource	132
TkMonitorName	16
TkNGuiAlignment	8
TkNGuiEditorLayout	104448
TkNGuiEditorStyleData	272
TkNGuiGraphicStyle	432
TkNGuiGraphicStyleData	128
TkNGuiLayoutList	16
TkNGuiLayoutListData	384
TkNGuiRectanglePulseEffect	20
TkNGuiTextStyle	192
TkNGuiTextStyleData	64
TkNGuiWindowLayoutData	408
TkNoiseCaveData	128
TkNoiseFeatureData	64
TkNoiseFlattenOptions	8
TkNoiseFlattenPoint	40
TkNoiseGridData	388
TkNoiseOffsetEnum	4
TkNoiseSuperFormulaData	16
TkNoiseSuperPrimitiveData	28
TkNoiseUberData	40
TkNoiseUberLayerData	104
TkNoiseVoxelTypeEnum	4
TkPaletteTexture	8
TkParticleData	192
TkPhysicsComponentData	112
TkPhysicsData	24
TkPlatformButtonPair	40
TkProbability	4
TkProceduralModelComponentData	16
TkProceduralModelList	32
TkProceduralTexture	464
TkProceduralTextureChosenOption	96
TkProceduralTextureChosenOptionList	16
TkProceduralTextureChosenOptionSampler	16
TkProceduralTextureLayer	64
TkProceduralTextureList	512
TkRagdollData	40
TkRandomComponentData	4
TkReferenceComponentData	256
TkResourceDescriptorData	200
TkResourceDescriptorList	32
TkRotationComponentData	32
TkSceneNodeAttributeData	304
TkSceneNodeData	216
TkShearWindData	128
TkShearWindOctaveData	20
TkSpeedLineData	224
TkTextureResource	132
TkTrailData	64
TkTransformData	36
TkTrophyData	16
TkTrophyEntry	88
TkUserServiceAuthProvider	4
TkVertexElement	32
TkVertexLayout	32
TkVolumeTriggerType	4
TkVoxelGeneratorData	4856
TkVoxelGeneratorRegionData	80
TkVoxelGeneratorSettingsArray	97120
TkVoxelGeneratorSettingsElement	9712
VariableSizeString	0
Vector2f	8
Vector3f	12
Vector3i	12
Vector4f	16
GcAudioGlobals	216
GcEnvironmentGlobals	1120
GcRobotGlobals	880
GcSceneOptions	688
